Year,Commodity,Type,value
2016,Oil,Primary production,186486106.600165
2016,Oil,Transformation,-14632095.7258272
2017,Biofuels and waste,Final consumption,40627289.2593946
2017,Biofuels and waste,Primary production,51406195.4948088
2017,Biofuels and waste,Transformation,-10398976.6055053
2017,Coal,Final consumption,41568898.5150349
2017,Coal,Primary production,157502508.056303
2017,Coal,Transformation,-112204421.914105
2017,Electricity and heat,Final consumption,89533261.9446356
2017,Electricity and heat,Primary production,23978170.3812808
2017,Electricity and heat,Transformation,83082335.435012
2017,Natural Gas,Final consumption,63722381.5695802
2017,Natural Gas,Primary production,133610885.104147
2017,Natural Gas,Transformation,-54080324.141427
2017,Oil,Final consumption,152035346.728115
2017,Oil,Primary production,186915993.717814
2017,Oil,Transformation,-14453681.218345
2018,Biofuels and waste,Final consumption,41347171.7201577
2018,Biofuels and waste,Primary production,52621949.5546048
2018,Biofuels and waste,Transformation,-10946409.1425897
2018,Coal,Final consumption,40994429.2211383
2018,Coal,Primary production,165020628.01376
2018,Coal,Transformation,-113747444.829779
2018,Electricity and heat,Final consumption,93216112.91587
2018,Electricity and heat,Primary production,25620858.95246
2018,Electricity and heat,Transformation,86143045.0182956
2018,Natural Gas,Final consumption,67869436.1992637
2018,Natural Gas,Primary production,138494268.363898
2018,Natural Gas,Transformation,-56741198.9436081
2018,Oil,Final consumption,153590616.863353
2018,Oil,Primary production,190207719.418602
2018,Oil,Transformation,-13043950.7339951
2019,Biofuels and waste,Final consumption,41856038.9225712
2019,Biofuels and waste,Primary production,53161349.7656991
2019,Biofuels and waste,Transformation,-11016503.1650748
2019,Coal,Final consumption,40087923.0368369
2019,Coal,Primary production,167821492.742643
2019,Coal,Transformation,-113197598.351046
2019,Electricity and heat,Final consumption,94527707.295174
2019,Electricity and heat,Primary production,26861650.4844648
2019,Electricity and heat,Transformation,85746642.1143982
2019,Natural Gas,Final consumption,69402626.3365706
2019,Natural Gas,Primary production,145661026.111821
2019,Natural Gas,Transformation,-57670159.9956012
2019,Oil,Final consumption,153141933.025968
2019,Oil,Primary production,189326612.736042
2019,Oil,Transformation,-12172786.8065381
